Check,ScheduleName,ClientId,Detail
Name spelling differs only by case/whitespace,Hamilton > BOP,,'Hamilton > BOP' | 'Hamilton  > BOP'
Name spelling differs only by case/whitespace,Hamilton > Tauranga afternoon,,'Hamilton > Tauranga Afternoon' | 'Hamilton > Tauranga afternoon'
Name spelling differs only by case/whitespace,IGNORE,,'ignore' | 'IGNORE'
Multiple differing rows for the same DayOfWeek,Evening Home,32530,days 2x2
Multiple differing rows for the same DayOfWeek,Sunday Delivery Service,18090,days 7x3
Multiple differing rows for the same DayOfWeek,Monday 2 hour express,17732,days 1x7
Multiple differing rows for the same DayOfWeek,Saturday 2 hour express,17732,days 6x3
Multiple differing rows for the same DayOfWeek,Simday 2 hour express,17732,days 7x2
Identical duplicate day rows inside one schedule,Kaibox Xmas AKL,17116,"1 redundant row(s); ids 410, 4314, 4315"
Multiple differing rows for the same DayOfWeek,Urgent Express Delivery 12pm,32584,"days 2x2, 3x2, 6x2, 7x2"
Multiple differing rows for the same DayOfWeek,Delivery Service,33080,days 4x2
Identical duplicate day rows inside one schedule,Auckland > Tauranga Regional Run 9-5 Express,NULL,"3 redundant row(s); ids 2017, 2018, 2019, 2020, 2065, 2066, 2067, 2280, 2281, 2282"
Multiple differing rows for the same DayOfWeek,Tauranga > Auckland Express Run,NULL,days 2x2
Multiple differing rows for the same DayOfWeek,HF Sunday Home Delivery Blenheim,17921,days 7x2
Multiple differing rows for the same DayOfWeek,RAWES - Sunday Hamilton,17238,days 7x2
Multiple differing rows for the same DayOfWeek,AKL > TGA Pre 930am Medical Run,14763,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,AKL > HLZ Pre 8am Medical Run,14763,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,Auckland - Hamilton 11am Chilled,NULL,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,Tauranga 9am > AKL Next Day Run,33103,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Identical duplicate day rows inside one schedule,Woop Tga Xmas,17535,"1 redundant row(s); ids 4052, 4053"
Identical duplicate day rows inside one schedule,Woop Napier Xmas,18137,"1 redundant row(s); ids 4055, 4258"
Identical duplicate day rows inside one schedule,FED Hamilton Regional Home Delivery,18090,"4 redundant row(s); ids 4719, 5568, 5569, 5570, 5604, 7719, 7720, 7721, 7722, 7723"
Multiple differing rows for the same DayOfWeek,WOOP Wellington AH,16867,days 5x2
Identical duplicate day rows inside one schedule,Auckland - Tatua,32945,"4 redundant row(s); ids 5380, 5381, 5382, 5383, 5384, 5385, 5386, 5387, 5388"
Multiple differing rows for the same DayOfWeek,"Auckland > Taupo, Tokoroa, Putaruru Regional Home",NULL,"days 1x2, 3x2, 5x2"
Multiple differing rows for the same DayOfWeek,Wellington Pallet,35221,"days 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,Bikaner WLG Pallets,35312,"days 1x2, 3x2, 4x2, 5x2"
Identical duplicate day rows inside one schedule,MOUMI Auckland Afternoons,17589,"6 redundant row(s); ids 6117, 6118, 6119, 6120, 6121, 6122, 6719, 6720, 6721, 6722, 6723, 6724"
Multiple differing rows for the same DayOfWeek,SHOTT WLG Pallets,33064,"days 1x2, 2x2, 3x2, 5x2"
Identical duplicate day rows inside one schedule,CHCH TEST,15641,"2 redundant row(s); ids 6737, 6738, 6739"
Identical duplicate day rows inside one schedule,AKL > WLG Pre 8am,14927,"3 redundant row(s); ids 7064, 7065, 7066, 7068, 7269, 7270, 7271, 7272, 7273"
Identical duplicate day rows inside one schedule,AKL > Napier pre 8am,14927,"4 redundant row(s); ids 7074, 7075, 7076, 7077, 7078, 9248, 9249, 9250, 9251, 9252"
Identical duplicate day rows inside one schedule,AKL > Pukekohe Overnight Medical Run,13713,"5 redundant row(s); ids 7361, 7362, 7363, 7364, 7365, 7612, 7613, 7614, 7615, 7616"
Identical duplicate day rows inside one schedule,Hamilton > Auckland Express 11am-1pm,9196,"5 redundant row(s); ids 7392, 7393, 7394, 7395, 7396, 7537, 7538, 7539, 7540, 7541"
Identical duplicate day rows inside one schedule,Hamilton > Auckland Express 4pm-6pm,9196,"10 redundant row(s); ids 7397, 7398, 7399, 7400, 7401, 7542, 7543, 7544, 7545, 7546, 7607, 7608, 7609, 7610, 7611"
Identical duplicate day rows inside one schedule,Hamilton > Auckland Run 12pm-5pm,9196,"5 redundant row(s); ids 7402, 7403, 7404, 7405, 7406, 7547, 7548, 7549, 7550, 7551"
Identical duplicate day rows inside one schedule,Hamilton > Auckland Run 6-9pm,9196,"5 redundant row(s); ids 7407, 7408, 7409, 7410, 7411, 7552, 7553, 7554, 7555, 7556"
Identical duplicate day rows inside one schedule,Hamilton > Tauranga afternoon,9196,"5 redundant row(s); ids 7412, 7413, 7414, 7415, 7416, 7557, 7558, 7559, 7560, 7561"
Identical duplicate day rows inside one schedule,Waikato > Tauranga afternoon,9196,"5 redundant row(s); ids 7417, 7418, 7419, 7420, 7421, 7592, 7593, 7594, 7595, 7596"
Identical duplicate day rows inside one schedule,BOP > Waikato Morning Run,9196,"5 redundant row(s); ids 7422, 7423, 7424, 7425, 7426, 7497, 7498, 7499, 7500, 7501"
Identical duplicate day rows inside one schedule,BOP Outer > Auckland Express Run 11-1,9196,"5 redundant row(s); ids 7427, 7428, 7429, 7430, 7431, 7502, 7503, 7504, 7505, 7506"
Identical duplicate day rows inside one schedule,BOP Outer > Auckland Express Run 4-6,9196,"5 redundant row(s); ids 7432, 7433, 7434, 7435, 7436, 7507, 7508, 7509, 7510, 7511"
Identical duplicate day rows inside one schedule,BOP Outer > Auckland Run 12-5pm,9196,"5 redundant row(s); ids 7437, 7438, 7439, 7440, 7441, 7512, 7513, 7514, 7515, 7516"
Identical duplicate day rows inside one schedule,BOP Outer > Auckland Run 6-9pm,9196,"5 redundant row(s); ids 7442, 7443, 7444, 7445, 7446, 7517, 7518, 7519, 7520, 7521"
Identical duplicate day rows inside one schedule,BOP Regional Home Delivery 11am,9196,"5 redundant row(s); ids 7447, 7448, 7449, 7450, 7451, 7522, 7523, 7524, 7525, 7526"
Identical duplicate day rows inside one schedule,BOP Regional Home Delivery 5am,9196,"5 redundant row(s); ids 7452, 7453, 7454, 7455, 7456, 7527, 7528, 7529, 7530, 7531"
Identical duplicate day rows inside one schedule,Hamilton > BOP,9196,"5 redundant row(s); ids 7457, 7458, 7459, 7460, 7461, 7532, 7533, 7534, 7535, 7536"
Identical duplicate day rows inside one schedule,Waikato Local & Outer > BOP,9196,"10 redundant row(s); ids 7462, 7463, 7464, 7465, 7466, 7597, 7598, 7599, 7600, 7601, 7602, 7603, 7604, 7605, 7606"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Express Run,9196,"5 redundant row(s); ids 7467, 7468, 7469, 7470, 7471, 7562, 7563, 7564, 7565, 7566"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Express Run 4pm-6pm,9196,"5 redundant row(s); ids 7472, 7473, 7474, 7475, 7476, 7567, 7568, 7569, 7570, 7571"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Run,9196,"5 redundant row(s); ids 7477, 7478, 7479, 7480, 7481, 7572, 7573, 7574, 7575, 7576"
Identical duplicate day rows inside one schedule,Tauranga > Auckland Run 6pm-9pm,9196,"5 redundant row(s); ids 7482, 7483, 7484, 7485, 7486, 7577, 7578, 7579, 7580, 7581"
Identical duplicate day rows inside one schedule,Tauranga > Waikato Afternoon Run,9196,"5 redundant row(s); ids 7487, 7488, 7489, 7490, 7491, 7582, 7583, 7584, 7585, 7586"
Identical duplicate day rows inside one schedule,Tauranga > Waikato Morning Run,9196,"5 redundant row(s); ids 7492, 7493, 7494, 7495, 7496, 7587, 7588, 7589, 7590, 7591"
Multiple differing rows for the same DayOfWeek,CupFull AKL > Waikato Home Delivery 11am,36488,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Multiple differing rows for the same DayOfWeek,WRG > AKL Regional Run,36266,"days 1x2, 2x2, 3x2, 4x2, 5x2"
Identical duplicate day rows inside one schedule,AKL > Pukekohe Overnight Medical Run,36820,"5 redundant row(s); ids 8745, 8746, 8747, 8748, 8749, 8760, 8761, 8762, 8763, 8764"
Identical duplicate day rows inside one schedule,Pukekohe > AKL Run,36820,"4 redundant row(s); ids 8750, 8751, 8752, 8753, 8754, 8765, 8766, 8767, 8768, 8769"
Multiple differing rows for the same DayOfWeek,Waikato Outer - Taupo,36813,"days 1x2, 3x2, 5x2"
