ScheduleName,SurvivorIsDefault,ClientCount,ClientIds,SurvivorLegacyClientId,SurvivorRowIds,RetiredRowIds,Days,StartTime,EndTime,MaxJobs,Region,SpeedId,CutoffHours,AutoBook,PostcodeGroupId,BookPickup,PickupDepotId,StorageState,DeliveryState,PickupRatingSpeed,PickupPostcodeGroupId,ParentSpeedId,PickupBoxDiscount,DropOffLocationID,ApplyPickupCutoff,PickupCutoff,AutoBookScanAhead,IsRecurringSchedule,SurvivorDescription,DescriptionValues
AKL > CHCH Pre 10am Medical,No,11,"16513, 14763, 169, 18185, 14578, 16947, 32946, 9477, 35755, 18188, 36739",16513,"8610, 8611, 8612, 8613, 8614","8625, 8626, 8627, 8628, 8629, 8895, 8896, 8897, 8898, 8899, 9233, 9234, 9235, 9236, 9237, 9333, 9334, 9335, 9336, 9337, 9722, 9723, 9724, 9725, 9726, 10224, 10225, 10226, 10227, 10228, 10618, 10619, 10620, 10621, 10622, 10738, 10739, 10740, 10741, 10742, 10859, 10860, 10861, 10862, 10863, 10964, 10965, 10966, 10967, 10968","1, 2, 3, 4, 5",08:00:00,10:00:00,10000,34,164,17,0,NULL,1,33,1,1,166,NULL,164,1,NULL,0,NULL,NULL,NULL,Book by 3 pm. Next Business day service to Christchurch,Book by 3 pm. Next Business day service to Christchurch (x50) | Book by 3 pm. Next Business day service to Christchurch | NO DGs allowed (x5)
AKL > CHCH Pre 8am Medical,No,11,"16513, 14763, 169, 18185, 13713, 16947, 32946, 9477, 35755, 18188, 36739",16513,"8605, 8606, 8607, 8608, 8609","8620, 8621, 8622, 8623, 8624, 8900, 8901, 8902, 8903, 8904, 9228, 9229, 9230, 9231, 9232, 9677, 9678, 9679, 9680, 9681, 9717, 9718, 9719, 9720, 9721, 10199, 10200, 10201, 10202, 10203, 10613, 10614, 10615, 10616, 10617, 10733, 10734, 10735, 10736, 10737, 10854, 10855, 10856, 10857, 10858, 10959, 10960, 10961, 10962, 10963","1, 2, 3, 4, 5",06:00:00,08:00:00,10000,34,165,66,0,NULL,1,33,1,1,166,NULL,165,1,NULL,0,NULL,NULL,NULL,Book by 2 pm. Next Business day service to Christchurch,Book by 2 pm. Next Business day service to Christchurch (x50) | Book by 2 pm. Next Business day service to Christchurch | NO DGs allowed (x5)
AKL > Gisborne pre 10am,No,9,"18185, 169, 16947, 32946, 9477, 35755, 36739, 14582, 13713",18185,"9238, 9239, 9240, 9241, 9242","9434, 9435, 9436, 9437, 9438, 9727, 9728, 9729, 9730, 9731, 10229, 10230, 10231, 10232, 10233, 10623, 10624, 10625, 10626, 10627, 10743, 10744, 10745, 10746, 10747, 10969, 10970, 10971, 10972, 10973, 11074, 11075, 11076, 11077, 11078, 11254, 11255, 11256, 11257, 11258","1, 2, 3, 4, 5",06:00:00,10:00:00,10000,22,164,17,0,NULL,1,44,1,1,127,NULL,164,1,NULL,NULL,NULL,NULL,NULL,Book by 1pm for overnight to Gisborne delivered before 8am,Book by 1pm for overnight to Gisborne delivered before 8am (x40) | Book by 1pm for overnight to Gisborne delivered before 10am (x5)
AKL > Gisborne pre 10am,No,2,"14763, 16513",14763,"9045, 9046, 9047, 9048, 9049","9115, 9116, 9117, 9118, 9119","1, 2, 3, 4, 5",06:00:00,10:00:00,10000,22,164,17,0,NULL,1,44,1,1,127,NULL,164,1,NULL,NULL,NULL,NULL,NULL,Book by 1pm for overnight to Gisborne delivered before 8am,Book by 1pm for overnight to Gisborne delivered before 8am (x10)
AKL > Gisborne pre 8am,No,8,"18185, 169, 16947, 32946, 9477, 36739, 14582, 13713",18185,"9243, 9244, 9245, 9246, 9247","9439, 9440, 9441, 9442, 9443, 9732, 9733, 9734, 9735, 9736, 10234, 10235, 10236, 10237, 10238, 10628, 10629, 10630, 10631, 10632, 10974, 10975, 10976, 10977, 10978, 11079, 11080, 11081, 11082, 11083, 11259, 11260, 11261, 11262, 11263","1, 2, 3, 4, 5",06:00:00,08:00:00,10000,22,165,65,0,NULL,1,44,1,1,127,NULL,165,1,NULL,NULL,NULL,NULL,NULL,Book by 1pm for overnight to Gisborne delivered before 8am,Book by 1pm for overnight to Gisborne delivered before 8am (x40)
AKL > Gisborne pre 8am,No,2,"14763, 16513",14763,"9050, 9051, 9052, 9053, 9054","9120, 9121, 9122, 9123, 9124","1, 2, 3, 4, 5",06:00:00,08:00:00,10000,22,165,17,0,NULL,1,44,1,1,127,NULL,165,1,NULL,NULL,NULL,NULL,NULL,Book by 1pm for overnight to Gisborne delivered before 8am,Book by 1pm for overnight to Gisborne delivered before 8am (x10)
AKL > HLZ Afternoon Medical Run,No,4,"9477, 16947, 13713, 14578",9477,"2511, 2512, 2513, 2514, 2515","2586, 2587, 2588, 2589, 2590, 2696, 2697, 2698, 2699, 2700, 2801, 2802, 2803, 2804, 2805","1, 2, 3, 4, 5",12:30:00,17:00:00,10000,4,128,3,1,11,1,8,1,1,127,NULL,128,1,2,NULL,NULL,NULL,NULL,Pre 5pm Medical Deliveries to Hamilton,Pre 5pm Medical Deliveries to Hamilton (x20)
AKL > HLZ Afternoon Medical Run 10am Cutoff,No,2,"169, 36672",169,"6988, 6989, 6990, 6991, 6992","7144, 7145, 7146, 7147, 7148","1, 2, 3, 4, 5",13:00:00,17:00:00,10000,4,128,3,1,60,1,8,1,1,2,NULL,128,1,2,NULL,NULL,NULL,NULL,Pre 5pm Medical Deliveries to Hamilton,Pre 5pm Medical Deliveries to Hamilton (x10)
AKL > HLZ Afternoon Medical Run 9:30am Cutoff,No,2,"169, 36672",169,"6983, 6984, 6985, 6986, 6987","7139, 7140, 7141, 7142, 7143","1, 2, 3, 4, 5",12:30:00,17:00:00,10000,4,128,3,1,60,1,8,1,1,127,NULL,128,1,2,NULL,NULL,NULL,NULL,Pre 5pm Medical Deliveries to Hamilton,Pre 5pm Medical Deliveries to Hamilton (x10)
AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,No,3,"33103, 504, 13822",33103,"2731, 2732, 2733, 2734, 2735","2766, 2767, 2768, 2769, 2770, 4787, 4788, 4789, 4790, 4791","1, 2, 3, 4, 5",12:30:00,17:00:00,10000,4,128,3,1,60,1,8,1,1,127,NULL,128,1,2,NULL,NULL,NULL,NULL,Pre 5pm Medical Deliveries to Hamilton,Pre 5pm Medical Deliveries to Hamilton (x15)
AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,No,2,"14763, 18185",14763,"2471, 2472, 2473, 2474, 2475","3225, 3226, 3227, 3228, 3229","1, 2, 3, 4, 5",13:00:00,17:00:00,10000,4,128,3,1,11,1,8,1,1,127,NULL,128,1,2,NULL,NULL,NULL,NULL,Pre 5pm Medical Deliveries to Hamilton,Pre 5pm Medical Deliveries to Hamilton (x10)
