ScheduleName,RenamedFrom,SurvivorIsDefault,ClientCount,ClientIds,SurvivorClientId,SurvivorIds,RetiredIds,Days,StartTime,EndTime,MaxJobs,Region,SpeedId,CutoffHours,Description,AutoBook,PostcodeGroupId,BookPickup,PickupDepotId,StorageState,DeliveryState,PickupRatingSpeed,PickupPostcodeGroupId,ParentSpeedId,PickupBoxDiscount,DropOffLocationID,ApplyPickupCutoff,PickupCutoff,AutoBookScanAhead,IsRecurringSchedule
( NOT AVAILABLE) CupFull Napier Afternoons AH,,No,1,36488,36488,7815,,3,12:00:00,17:00:00,10000,10,133,900,NULL,0,65,0,8,3,1,NULL,NULL,133,1,NULL,NULL,NULL,NULL,NULL
*IGNORE* Morning Economy Run Mon - Sun,,No,1,9673,9673,"5343, 5345, 5346, 5348",,"2, 3, 4, 5",09:00:00,13:00:00,10000,8,37,0,NULL,1,NULL,0,8,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL
1 hr. 11am run. Auckland > Hamilton,,No,1,16867,16867,"5530, 5531, 5532, 5533, 5534",,"1, 2, 3, 4, 5",13:30:00,18:00:00,10000,4,112,4,NULL,1,11,1,8,1,1,1,NULL,112,1,2,NULL,NULL,NULL,NULL
1 hr. 11am run. Auckland > Tauranga,,No,1,16867,16867,"5540, 5541, 5542, 5543, 5544",,"1, 2, 3, 4, 5",15:30:00,18:30:00,10000,3,112,6,NULL,1,12,1,8,1,1,1,NULL,112,1,2,NULL,NULL,NULL,NULL
1 hr. 5am run Auckland > Hamilton,,No,1,16867,16867,"5535, 5536, 5537, 5538, 5539",,"1, 2, 3, 4, 5",07:00:00,12:00:00,10000,4,112,12,NULL,1,11,1,8,1,1,1,NULL,112,1,2,NULL,NULL,NULL,NULL
1-Hour Express 10 AM,,No,1,32999,32999,"947, 968, 986, 1004, 1022",,"1, 2, 3, 4, 5",10:00:00,11:00:00,10000,8,1,1,"Express, live-tracked delivery.",1,NULL,0,8,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
1-Hour Express*11:00:00-12:00:00,,No,1,32999,32999,"948, 969, 987, 1005, 1023",,"1, 2, 3, 4, 5",11:00:00,12:00:00,10000,8,1,1,"Express, live-tracked delivery.",1,NULL,0,8,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
1-Hour Express*12:00:00-13:00:00,,No,1,32999,32999,"949, 970, 988, 1006, 1024",,"1, 2, 3, 4, 5",12:00:00,13:00:00,10000,8,1,1,"Express, live-tracked delivery.",1,NULL,0,8,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
1-Hour Express*13:00:00-14:00:00,,No,1,32999,32999,"950, 971, 989, 1007, 1025",,"1, 2, 3, 4, 5",13:00:00,14:00:00,10000,8,1,1,"Express, live-tracked delivery.",1,NULL,0,8,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
1-Hour Express*14:00:00-15:00:00,,No,1,32999,32999,"951, 972, 990, 1008, 1026",,"1, 2, 3, 4, 5",14:00:00,15:00:00,10000,8,1,1,"Express, live-tracked delivery.",1,NULL,0,8,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
