Group,ScheduleName,ClientId,CurrentlyIn,CutoffHours,CutoffHoursByDay,Days,StartTime,EndTime,SpeedId,Region,RowIds
1,AKL > CHCH Pre 8am Medical,16513,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"8605, 8606, 8607, 8608, 8609"
1,AKL > CHCH Pre 8am Medical,14763,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"8620, 8621, 8622, 8623, 8624"
1,AKL > CHCH Pre 8am Medical,169,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"8900, 8901, 8902, 8903, 8904"
1,AKL > CHCH Pre 8am Medical,18185,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"9228, 9229, 9230, 9231, 9232"
1,AKL > CHCH Pre 8am Medical,14578,one-client,16/64,Mon:64 Tue:16 Wed:16 Thu:16 Fri:16,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"9328, 9329, 9330, 9331, 9332"
1,AKL > CHCH Pre 8am Medical,13713,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"9677, 9678, 9679, 9680, 9681"
1,AKL > CHCH Pre 8am Medical,16947,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"9717, 9718, 9719, 9720, 9721"
1,AKL > CHCH Pre 8am Medical,32946,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"10199, 10200, 10201, 10202, 10203"
1,AKL > CHCH Pre 8am Medical,9477,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"10613, 10614, 10615, 10616, 10617"
1,AKL > CHCH Pre 8am Medical,35755,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"10733, 10734, 10735, 10736, 10737"
1,AKL > CHCH Pre 8am Medical,18188,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"10854, 10855, 10856, 10857, 10858"
1,AKL > CHCH Pre 8am Medical,36739,shared by 11 clients,18/66,Mon:66 Tue:18 Wed:18 Thu:18 Fri:18,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,34,"10959, 10960, 10961, 10962, 10963"
2,AKL > Gisborne pre 10am,14763,shared by 2 clients,17/60,Mon:60 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"9045, 9046, 9047, 9048, 9049"
2,AKL > Gisborne pre 10am,16513,shared by 2 clients,17/60,Mon:60 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"9115, 9116, 9117, 9118, 9119"
2,AKL > Gisborne pre 10am,18185,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"9238, 9239, 9240, 9241, 9242"
2,AKL > Gisborne pre 10am,169,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"9434, 9435, 9436, 9437, 9438"
2,AKL > Gisborne pre 10am,16947,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"9727, 9728, 9729, 9730, 9731"
2,AKL > Gisborne pre 10am,32946,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"10229, 10230, 10231, 10232, 10233"
2,AKL > Gisborne pre 10am,9477,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"10623, 10624, 10625, 10626, 10627"
2,AKL > Gisborne pre 10am,35755,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"10743, 10744, 10745, 10746, 10747"
2,AKL > Gisborne pre 10am,36739,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"10969, 10970, 10971, 10972, 10973"
2,AKL > Gisborne pre 10am,14582,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"11074, 11075, 11076, 11077, 11078"
2,AKL > Gisborne pre 10am,13713,shared by 9 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,10:00:00,164,22,"11254, 11255, 11256, 11257, 11258"
3,AKL > Gisborne pre 8am,14763,shared by 2 clients,17/60,Mon:60 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"9050, 9051, 9052, 9053, 9054"
3,AKL > Gisborne pre 8am,16513,shared by 2 clients,17/60,Mon:60 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"9120, 9121, 9122, 9123, 9124"
3,AKL > Gisborne pre 8am,18185,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"9243, 9244, 9245, 9246, 9247"
3,AKL > Gisborne pre 8am,169,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"9439, 9440, 9441, 9442, 9443"
3,AKL > Gisborne pre 8am,16947,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"9732, 9733, 9734, 9735, 9736"
3,AKL > Gisborne pre 8am,32946,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"10234, 10235, 10236, 10237, 10238"
3,AKL > Gisborne pre 8am,9477,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"10628, 10629, 10630, 10631, 10632"
3,AKL > Gisborne pre 8am,36739,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"10974, 10975, 10976, 10977, 10978"
3,AKL > Gisborne pre 8am,14582,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"11079, 11080, 11081, 11082, 11083"
3,AKL > Gisborne pre 8am,13713,shared by 8 clients,17/65,Mon:65 Tue:17 Wed:17 Thu:17 Fri:17,"1, 2, 3, 4, 5",06:00:00,08:00:00,165,22,"11259, 11260, 11261, 11262, 11263"
4,AKL > HLZ Pre 8am Medical Run,9477,shared by 6 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,20:00:00,128,4,"2516, 2517, 2518, 2519, 2520"
4,AKL > HLZ Pre 8am Medical Run,14582,one-client,12/60,Mon:60 Tue:12 Wed:12 Thu:12 Fri:12,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"2551, 2552, 2553, 2554, 2555"
4,AKL > HLZ Pre 8am Medical Run,16947,shared by 6 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"2591, 2592, 2593, 2594, 2595"
4,AKL > HLZ Pre 8am Medical Run,18188,shared by 6 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"2666, 2667, 2668, 2669, 2670"
4,AKL > HLZ Pre 8am Medical Run,17122,shared by 6 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"2868, 2869, 2870, 2871, 2872"
4,AKL > HLZ Pre 8am Medical Run,36739,shared by 6 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,20:00:00,128,4,"8690, 8691, 8692, 8693, 8694"
4,AKL > HLZ Pre 8am Medical Run,32946,shared by 6 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,20:00:00,128,4,"12630, 12631, 12632, 12633, 12634"
5,AKL > HLZ Pre 8am Medical Run,3191,one-client,12/60,Mon:60 Tue:12 Wed:12 Thu:12 Fri:12,"1, 2, 3, 4, 5",07:00:00,14:00:00,128,4,"2175, 2176, 2177, 2178, 2179"
5,AKL > HLZ Pre 8am Medical Run,16513,shared by 4 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,14:00:00,128,4,"2631, 2632, 2633, 2634, 2635"
5,AKL > HLZ Pre 8am Medical Run,14578,shared by 4 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,14:00:00,128,4,"2806, 2807, 2808, 2809, 2810"
5,AKL > HLZ Pre 8am Medical Run,35755,shared by 4 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,14:00:00,128,4,"6303, 6304, 6305, 6306, 6307"
5,AKL > HLZ Pre 8am Medical Run,169,shared by 4 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,14:00:00,128,4,"6993, 6994, 6995, 6996, 6997"
6,AKL > HLZ Pre 8am Medical Run,14927,one-client,12/60,Mon:60 Tue:12 Wed:12 Thu:12 Fri:12,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"2501, 2502, 2503, 2504, 2505"
6,AKL > HLZ Pre 8am Medical Run,13713,shared by 2 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"2701, 2702, 2703, 2704, 2705"
6,AKL > HLZ Pre 8am Medical Run,18185,shared by 2 clients,14/62,Mon:62 Tue:14 Wed:14 Thu:14 Fri:14,"1, 2, 3, 4, 5",07:00:00,08:00:00,128,4,"3230, 3231, 3232, 3233, 3234"
7,AKL > Masterton,32946,one-client,20/65,Mon:65 Tue:20 Wed:20 Thu:20 Fri:20,"1, 2, 3, 4, 5",09:00:00,11:00:00,164,30,"10269, 10270, 10271, 10272, 10273"
7,AKL > Masterton,9477,shared by 5 clients,20/68,Mon:68 Tue:20 Wed:20 Thu:20 Fri:20,"1, 2, 3, 4, 5",09:00:00,11:00:00,164,30,"10633, 10634, 10635, 10636, 10637"
7,AKL > Masterton,35755,shared by 5 clients,20/68,Mon:68 Tue:20 Wed:20 Thu:20 Fri:20,"1, 2, 3, 4, 5",09:00:00,11:00:00,164,30,"10753, 10754, 10755, 10756, 10757"
7,AKL > Masterton,18188,shared by 5 clients,20/68,Mon:68 Tue:20 Wed:20 Thu:20 Fri:20,"1, 2, 3, 4, 5",09:00:00,11:00:00,164,30,"10874, 10875, 10876, 10877, 10878"
7,AKL > Masterton,36739,shared by 5 clients,20/68,Mon:68 Tue:20 Wed:20 Thu:20 Fri:20,"1, 2, 3, 4, 5",09:00:00,11:00:00,164,30,"10979, 10980, 10981, 10982, 10983"
