ScheduleName,ClientId,CreatedUtc,CreatedBy
AKL > CHCH Pre 10am Medical,16513,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,14763,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,169,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,18185,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,14578,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,32946,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,9477,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,35755,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,18188,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 10am Medical,36739,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,16513,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,14763,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,169,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,18185,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,13713,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,32946,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,9477,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,35755,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,18188,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > CHCH Pre 8am Medical,36739,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,18185,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,169,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,16947,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,32946,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,9477,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,35755,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,36739,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am,13713,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am #2,14763,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 10am #2,16513,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,18185,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,169,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,16947,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,32946,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,9477,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,36739,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,14582,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am,13713,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am #2,14763,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > Gisborne pre 8am #2,16513,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > HLZ Afternoon Medical Run,9477,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > HLZ Afternoon Medical Run,16947,2026-09-08T02:00:00Z,steve@urgent.co.nz
AKL > HLZ Afternoon Medical Run,13713,2026-09-08T02:00:00Z,steve@urgent.co.nz
