ScheduleName,ClientId,CreatedUtc,CreatedBy
( NOT AVAILABLE) CupFull Napier Afternoons AH,36488,2026-09-08T02:00:00Z,steve@urgent.co.nz
*IGNORE* Morning Economy Run Mon - Sun,9673,2026-09-08T02:00:00Z,steve@urgent.co.nz
1 hr. 11am run. Auckland > Hamilton,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
1 hr. 11am run. Auckland > Tauranga,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
1 hr. 5am run Auckland > Hamilton,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express 10 AM,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express*11:00:00-12:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express*12:00:00-13:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express*13:00:00-14:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express*14:00:00-15:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express*15:00:00-16:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1-Hour Express*16:00:00-17:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
1hr. 5am Run Auckland > Tauranga,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
2-Hour Express*10:00:00-12:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
2-Hour Express*11:00:00-13:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
2-Hour Express*12:00:00-14:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
2-Hour Express*13:00:00-15:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
2-Hour Express*14:00:00-16:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
2-Hour Express*15:00:00-17:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
2.30 pm test,15641,2026-09-08T02:00:00Z,steve@urgent.co.nz
2pm test,15641,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express (11:00am-2:00pm),34294,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express (1:00pm-4:00pm),34294,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express (3:00pm-6:00pm),34294,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*09:00:00-12:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*10:00:00-13:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*11:00:00-14:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*12:00:00-15:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*13:00:00-16:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*14:00:00-17:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 Hour Express*15:00:00-18:00:00,14324,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 hr. 11am run Auckland > Hamilton,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 hr. 5am run Auckland > Tauranga,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
3 hr. 5am run. Auckland > Hamilton,16867,2026-09-08T02:00:00Z,steve@urgent.co.nz
3-Hour Express*09:00:00-11:00:00,216,2026-09-08T02:00:00Z,steve@urgent.co.nz
3-Hour Express*10:00:00-12:00:00,216,2026-09-08T02:00:00Z,steve@urgent.co.nz
3-Hour Express*10:00:00-13:00:00,32999,2026-09-08T02:00:00Z,steve@urgent.co.nz
