Metric,Value
Scope,all
Source rows (tblBulkRunSchedule),11110
Default schedules (ClientId NULL),119
Client-specific schedules (Name + ClientId),2606
Names shared by 2+ clients,203
Shared schedules created / kept,2144
  of which the survivor is a default schedule,20
Client schedules converted to link rows,2606
Client schedules still 1-1 (not converted),0
Link-table rows (ScheduleClient),2606
Schedule rows retired,2433
Schedule rows remaining,8677
Surviving client rows whose ClientId is cleared (staging only),8162
Names whose definitions differ across clients/default (variants),169
Schedules renamed to 'Name #n',355
Data-quality findings,168
CreatedUtc used,2026-09-08T02:00:00Z
CreatedBy used,steve@urgent.co.nz
