ScheduleName,VariantGroup,ProposedName,ClientCount,ClientIds,SurvivorIds,DiffersFromMainGroupOn,MergedIntoSharedSchedule
Afternoon Home*12:00:00-17:00:00,1,Afternoon Home*12:00:00-17:00:00,1,32530,"99, 101, 102, 103, 141",(name holder),No
Afternoon Home*12:00:00-17:00:00,2,Afternoon Home*12:00:00-17:00:00 #2,1,32454,"150, 151, 152, 153, 154","CutoffHours, Description, PostcodeGroupId",No
AKL > CHCH Pre 10am Medical,1,AKL > CHCH Pre 10am Medical,10,"16513, 14763, 169, 18185, 14578, 32946, 9477, 35755, 18188, 36739","8610, 8611, 8612, 8613, 8614",(name holder),Yes
AKL > CHCH Pre 10am Medical,2,AKL > CHCH Pre 10am Medical #2,1,13713,"8391, 8392, 8393, 8394, 8395","CutoffHours, Description, AutoBook",No
AKL > CHCH Pre 10am Medical,3,AKL > CHCH Pre 10am Medical #3,1,16947,"9722, 9723, 9724, 9725, 9726",Description,No
AKL > CHCH Pre 10am Medical,4,AKL > CHCH Pre 10am Medical #4,1,13773,"11174, 11175, 11176, 11177, 11178","PickupRatingSpeed, PickupBoxDiscount",No
AKL > CHCH Pre 10am Medical,5,AKL > CHCH Pre 10am Medical #5,1,14927,"11663, 11664, 11665, 11666, 11667","Region, CutoffHours, Description, AutoBook",No
AKL > CHCH Pre 10am Medical,6,AKL > CHCH Pre 10am Medical #6,1,35773,"13087, 13088, 13089, 13090, 13091",PickupRatingSpeed,No
AKL > CHCH Pre 8am Medical,1,AKL > CHCH Pre 8am Medical,10,"16513, 14763, 169, 18185, 13713, 32946, 9477, 35755, 18188, 36739","8605, 8606, 8607, 8608, 8609",(name holder),Yes
AKL > CHCH Pre 8am Medical,2,AKL > CHCH Pre 8am Medical #2,1,14927,"8322, 8324, 8325, 8326, 11673","Region, CutoffHours, Description, AutoBook, ParentSpeedId",No
AKL > CHCH Pre 8am Medical,3,AKL > CHCH Pre 8am Medical #3,1,3191,"9177, 9178, 9179, 9180, 9181","CutoffHours, AutoBook",No
AKL > CHCH Pre 8am Medical,4,AKL > CHCH Pre 8am Medical #4,1,14578,"9328, 9329, 9330, 9331, 9332",CutoffHours,No
AKL > CHCH Pre 8am Medical,5,AKL > CHCH Pre 8am Medical #5,1,16947,"9717, 9718, 9719, 9720, 9721",Description,No
AKL > CHCH Pre 8am Medical,6,AKL > CHCH Pre 8am Medical #6,1,36266,"9862, 9863, 9864, 9865, 9866","Region, PostcodeGroupId, PickupDepotId, DropOffLocationID",No
